,0,1,2,3,4,5,6
0,6.7,49%,Joe Carnahan,Joe Carnahan,"A group of Iraq War veterans look to clear their name with the U.S. Military, who suspect the four men of committing a crime for which they were framed.",1h 57m,The A-Team
1,6.6,36%,Mike Newell,Boaz Yakin,A young fugitive prince and princess must stop a villain who unknowingly threatens to destroy the world with a special dagger that enables the magic sand inside to reverse time.,1h 56m,Prince of Persia: The Sands of Time
2,6.8,87%,Tony Scott,Mark Bomback,"With an unmanned, half-mile-long freight train barreling toward a city, a veteran engineer and a young conductor race against the clock to prevent a catastrophe.",1h 38m,Unstoppable
3,6.2,48%,Sylvain White,Peter Berg,"A CIA special forces team is betrayed and left for dead by their superiors, galvanizing them to mount an offensive on the CIA.",1h 37m,The Losers
4,5.8,27%,Louis Leterrier,Travis Beacham,"Perseus, a demigod and the son of Zeus, battles the minions of Hades and the Underworld in order to stop them from conquering Olympus and Earth.",1h 46m,Clash of the Titans
5,4.0,5%,M. Night Shyamalan,M. Night Shyamalan,"Aang, a young successor to a long line of Avatars, must master all four elements and stop the Fire Nation from enslaving the Water Tribes and the Earth Kingdom.",1h 43m,The Last Airbender
6,6.5,62%,Phillip Noyce,Kurt Wimmer,A CIA agent goes on the run after a defector accuses her of being a Russian spy.,1h 40m,Salt
7,6.1,40%,Jon Turteltaub,Lawrence Konner,A protege of the magician Merlin must train his teacher's successor - an introverted but resourceful physics prodigy - in the art of sorcery to prevent the return of Morgana le Fay.,1h 49m,The Sorcerer's Apprentice
8,6.2,33%,Sngmoo Lee,Sngmoo Lee,A warrior-assassin is forced to hide in a small town in the American Badlands after refusing a mission.,1h 40m,The Warrior's Way
9,6.8,47%,Albert Hughes,Gary Whitta,"A drifter fights his way across a ravaged, post-apocalyptic America while protecting a sacred book that holds the secrets to humanity's salvation.",1h 58m,The Book of Eli
10,5.3,20%,Scott Stewart,Peter Schink,"When a group of strangers at a dusty roadside diner come under attack by demonic forces, their only chance for survival lies with an archangel named Michael, who informs a pregnant waitress that her unborn child is humanity's last hope.",1h 40m,Legion
11,4.1,0%,Andrey Konchalovskiy,Andrey Konchalovskiy,"In 1920s Vienna, a young girl receives a magical doll on Christmas Eve.",1h 50m,The Nutcracker: The Untold Story
12,6.3,21%,Miguel Sapochnik,Eric Garcia,"Set in the near future when artificial organs can be bought on credit, it revolves around a man who struggles to make the payments on a heart he has purchased. He must therefore go on the run before said ticker is repossessed.",1h 51m,Repo Men
13,4.7,12%,Jimmy Hayward,Mark Neveldine,"In exchange for his freedom, bounty hunter Jonah Hex must track down a terrorist with a superweapon.",1h 21m,Jonah Hex
14,6.5,22%,Daniel Grou,Patrick Senécal,"A doctor seeks revenge by kidnapping, torturing and killing the man who raped and murdered his young daughter.",1h 45m,7 Days
15,5.8,80%,Chris D'Arienzo,Chris D'Arienzo,"Barry Munday wakes up after being attacked to realize that he's missing his family jewels. To make matters worse, he learns he's facing a paternity lawsuit filed by a woman he can't remember having sex with.",1h 35m,Family Jewels
16,6.5,70%,Elizabeth Allen Rosenbaum,Laurie Craig,"An adventurous young girl uses her imagination to escape her reality, that is quickly spinning out of reach.",1h 44m,Ramona and Beezus
17,6.7,49%,Edward Zwick,Charles Randolph,"In 1990s Pittsburgh, a medicine peddler starts a relationship with a young woman suffering from Parkinson's disease.",1h 52m,Love & Other Drugs
18,6.2,80%,Tanya Hamilton,Tanya Hamilton,"In 1976, complex political and emotional forces are set in motion when a young man returns to the race-torn Philadelphia neighborhood where he came of age during the Black Power movement.",1h 30m,Night Catches Us
19,5.8,33%,Joe Johnston,Andrew Kevin Walker,"Upon his return to his ancestral homeland, an American man is bitten and subsequently cursed by a werewolf.",1h 43m,The Wolfman
20,6.0,7%,Géla Babluani,Géla Babluani,"A naive young man assumes a dead man's identity and finds himself embroiled in an underground world of power, violence, and chance where men gamble behind closed doors on the lives of other men.",1h 31m,13
21,7.7,55%,Rob Reiner,Rob Reiner,Two eighth-graders start to have feelings for each other despite being total opposites.,1h 30m,Flipped
22,7.0,93%,Lisa Cholodenko,Lisa Cholodenko,Two children conceived by artificial insemination bring their biological father into their non-traditional family life.,1h 46m,The Kids Are All Right
23,7.5,92%,Ben Affleck,Peter Craig,A proficient group of thieves rob a bank and hold an assistant manager hostage. Things begin to get complicated when one of the crew members falls in love with her.,2h 5m,The Town
24,6.1,53%,Josh Gordon,Jeffrey Eugenides,"Seven years after the fact, a man comes to the realization that he was the sperm donor for his best friend's boy.",1h 41m,The Switch
25,6.5,42%,Gary Winick,Jose Rivera,"Sophie travels to Verona where she finds an old unanswered letter asking for love advice. She answers it and when the recipient shows up along with her grumpy grandson, they head off to find the old long lost love while a young love sparks",1h 45m,Letters to Juliet
26,7.1,76%,Larysa Kondracki,Larysa Kondracki,"A drama based on the experiences of Kathryn Bolkovac, a Nebraska cop who served as a peacekeeper in post-war Bosnia and outed the U.N. for covering up a sex trafficking scandal.",1h 52m,The Whistleblower
