,0,1,2,3,4,5,6,7
0,"8,8",93%,Rojin Thomas,Rojin Thomas,"Oliver Twist quiere ser un experto en tecnología y convertirse en un mejor compañero para sus dos hijos, que pasan más tiempo en sus teléfonos que con sus seres queridos.","Drama
Familiar",2h 38min,#Home
1,"7,9",28%,Alexandr Borecky,Alexandr Borecky,"Three friends, that had known each other since they were little kids, have decided to spend a night out together. Leo, a person that relies heavily on their friendship, is realising how much he has been lacking behind in his life when he sees his how much his friends grew as people, outside their little circle. This makes Leo reconsider his approach to life and also m... Leer todo",Corto,18min,Origin
2,"7,0",100%,Akira Hashimoto,Kazuyuki Fudeyasu,"Cuando un poder siniestro se cierne sobre la Tierra tras un eclipse solar total, las Guardianas deben devolver la luz al mundo.","Animación
Acción
Aventura",2h 40min,Pretty Guardian Sailor Moon Eternal: La película
3,"3,3",63%,Jonathan Ogilvie,Jonathan Ogilvie,"In the near-future, where constant surveillance is the norm, a group of activists plan an act of urban terrorism, unaware that they may be lured into a trap.","Drama
Ciencia ficción
Suspense",1h 43min,Lone Wolf
4,"4,3",57%,Raja Gosnell,Bradley Gosnell,"Based on the original play, Gun and a Hotel Bible is a provocative film about a man on the verge of a violent act, and his encounter with a personified hotel bible.",Drama,58min,Gun and a Hotel Bible
5,"6,3",78%,Michael Fimognari,Katie Lovejoy,"Mientras Lara se prepara para el fin de su etapa en el instituto y el comienzo de la vida adulta, un par de viajes trascendentales la llevan a replantearse cómo será la vida después de la graduación.","Comedia
Drama
Romance",1h 56min,A todos los chicos: Para siempre
6,"5,8",44%,Tarik Saleh,J.P. Davis,"Un sargento de las Fuerzas Especiales de EE. UU. dado de baja, James Harper, lo arriesga todo por su familia cuando se une a una organización contratista privada.","Acción
Drama
Suspense",1h 43min,El contratista
7,"7,6",87%,Mani Ratnam,Mani Ratnam,Las conspiraciones y la lucha por el poder entre los personajes principales y los que los rodean forman la base de esta historia.,"Acción
Aventura
Drama",2h 47min,Ponniyin Selvan: Part One
8,"7,0",90%,Robert Eggers,Sjón,Un joven príncipe vikingo se embarca una cruzada para vengar el asesinato de su padre.,"Acción
Aventura
Drama",2h 17min,El hombre del norte
9,"5,0",80%,John V. Soto,Adam Enslow,Una arquera talentosa debe rescatar a su esposo e hija después de que son secuestrados durante una feroz invasión.,"Acción
Suspense",1h 28min,Avarice
10,"5,2",69%,Nelson Dilipkumar,Nelson Dilipkumar,"Después de que un centro comercial en Chennai es secuestrado por terroristas que retienen a los visitantes como rehenes, un espía también atrapado en el centro comercial decide salvar a los rehenes eliminando a los terroristas.","Acción
Comedia
Crimen",2h 35min,Beast
11,"6,8",86%,Matt Szakal,Melinda Bryce,"Una noche de Halloween, un hombre de Detroit se adentra en una odisea de sus recuerdos y sueños, en busca de los hombres que le dejaron morir en el maletero de un coche. Un fan film dedicado a la serie de culto ""The Crow"" de James O'Barr.","Acción
Misterio
Suspense",1h 30min,Crow
12,"8,3",100%,Vetrimaaran,Jayamohan,A police officer is recruited to capture the leader of a separatist group.,"Acción
Crimen
Drama",2h 30min,Viduthalai Part 1
13,"3,7",33%,Daniel Zirilli,Tom Jolliffe,"Cuando un soldado retirado de los Boinas Verdes es asesinado por una banda internacional de narcotraficantes en Londres, cuatro de sus camaradas veteranos del SAS se disponen a vengarlo.","Acción
Crimen
Suspense",1h 31min,Renegades
